Close,epoch,High,Low,Open,datetime
46451.433,1765895280,46510.2243,46451.433,46495.538,2025-12-16 14:28:00
46449.8306,1765895340,46480.7526,46435.4058,46451.3163,2025-12-16 14:29:00
46487.0977,1765895400,46505.6139,46430.9296,46446.144,2025-12-16 14:30:00
46474.8112,1765895460,46519.5688,46455.2749,46465.83,2025-12-16 14:31:00
46466.2271,1765895520,46485.1145,46451.7764,46477.1761,2025-12-16 14:32:00
46434.6972,1765895580,46464.4038,46421.3346,46461.5916,2025-12-16 14:33:00
46514.7792,1765895640,46541.3652,46436.7781,46444.95,2025-12-16 14:34:00
46461.0943,1765895700,46549.19,46451.4507,46513.4267,2025-12-16 14:35:00
46523.4614,1765895760,46524.1416,46435.4462,46460.9741,2025-12-16 14:36:00
46604.0479,1765895820,46631.8235,46535.4176,46538.3389,2025-12-16 14:37:00
46581.8414,1765895880,46645.8872,46581.8414,46594.5433,2025-12-16 14:38:00
46668.3389,1765895940,46669.4364,46579.8822,46581.129,2025-12-16 14:39:00
46606.5566,1765896000,46670.9871,46602.0715,46651.325,2025-12-16 14:40:00
46598.9751,1765896060,46619.0273,46567.0958,46602.0624,2025-12-16 14:41:00
46593.6984,1765896120,46635.164,46593.0114,46593.555,2025-12-16 14:42:00
46609.0098,1765896180,46609.0098,46552.1789,46580.9599,2025-12-16 14:43:00
46696.0258,1765896240,46703.8058,46573.9338,46598.7047,2025-12-16 14:44:00
46652.0677,1765896300,46727.2039,46652.0677,46711.3853,2025-12-16 14:45:00
46794.461,1765896360,46794.461,46644.9636,46644.9636,2025-12-16 14:46:00
46798.5111,1765896420,46823.7528,46772.7642,46802.2027,2025-12-16 14:47:00
46819.1271,1765896480,46842.9024,46793.741,46803.9453,2025-12-16 14:48:00
46766.5173,1765896540,46822.9776,46761.4466,46810.7062,2025-12-16 14:49:00
46661.8414,1765896600,46775.1619,46661.8414,46760.3363,2025-12-16 14:50:00
46681.2605,1765896660,46719.5082,46627.2812,46656.0529,2025-12-16 14:51:00
46675.8965,1765896720,46686.5463,46621.6023,46680.484,2025-12-16 14:52:00
46685.7997,1765896780,46717.334,46672.0899,46688.6524,2025-12-16 14:53:00
46661.9749,1765896840,46700.768,46661.9749,46688.774,2025-12-16 14:54:00
46764.7712,1765896900,46764.7712,46649.2363,46658.4206,2025-12-16 14:55:00
46775.4362,1765896960,46795.3432,46737.7289,46757.7694,2025-12-16 14:56:00
46822.2827,1765897020,46839.5374,46774.6853,46789.0775,2025-12-16 14:57:00
46906.3727,1765897080,46906.3727,46826.1568,46830.4684,2025-12-16 14:58:00
46918.1478,1765897140,46939.1488,46888.1189,46906.987,2025-12-16 14:59:00
47034.7145,1765897200,47046.2047,46921.4275,46921.4275,2025-12-16 15:00:00
46971.6647,1765897260,47046.4653,46964.3049,47035.3023,2025-12-16 15:01:00
46961.564,1765897320,47027.0715,46951.7212,46981.1902,2025-12-16 15:02:00
46953.4195,1765897380,46983.3979,46944.6618,46951.2941,2025-12-16 15:03:00
46995.2474,1765897440,47004.248,46960.0229,46960.0229,2025-12-16 15:04:00
47009.7607,1765897500,47012.3158,46955.4413,46981.6458,2025-12-16 15:05:00
47047.8397,1765897560,47086.6649,47027.8511,47028.0469,2025-12-16 15:06:00
46970.6742,1765897620,47055.7866,46970.6742,47055.7866,2025-12-16 15:07:00
47024.2634,1765897680,47045.7082,46961.8469,46975.3371,2025-12-16 15:08:00
47058.937,1765897740,47092.3692,47018.831,47032.0181,2025-12-16 15:09:00
47060.7887,1765897800,47092.5297,47039.2361,47062.7155,2025-12-16 15:10:00
47035.0211,1765897860,47076.5901,47030.9895,47054.5388,2025-12-16 15:11:00
47021.6156,1765897920,47037.9982,46986.1954,47032.4955,2025-12-16 15:12:00
47021.9851,1765897980,47024.5055,46975.4753,47019.7838,2025-12-16 15:13:00
47075.3242,1765898040,47075.3242,47024.3519,47033.1344,2025-12-16 15:14:00
47060.3235,1765898100,47123.0005,47049.3003,47066.7512,2025-12-16 15:15:00
47066.3298,1765898160,47087.1872,47044.4932,47074.3483,2025-12-16 15:16:00
47018.8338,1765898220,47075.5651,47001.3224,47068.4506,2025-12-16 15:17:00
47061.1615,1765898280,47073.1824,46999.57,47023.6784,2025-12-16 15:18:00
47098.2856,1765898340,47103.6212,47068.5654,47070.0905,2025-12-16 15:19:00
47132.8724,1765898400,47143.045,47079.4865,47092.3938,2025-12-16 15:20:00
47161.3518,1765898460,47162.1996,47107.3783,47137.0061,2025-12-16 15:21:00
47130.7728,1765898520,47194.1962,47130.7728,47173.9395,2025-12-16 15:22:00
47204.8154,1765898580,47210.377,47120.8703,47128.8313,2025-12-16 15:23:00
47254.9847,1765898640,47291.2229,47190.0623,47204.4819,2025-12-16 15:24:00
47244.3568,1765898700,47274.0247,47215.0178,47258.6785,2025-12-16 15:25:00
47206.6724,1765898760,47250.7579,47178.2728,47250.7579,2025-12-16 15:26:00
47297.6839,1765898820,47298.6989,47203.1491,47203.1491,2025-12-16 15:27:00
47331.3362,1765898880,47356.733,47292.2258,47299.2756,2025-12-16 15:28:00
47373.7319,1765898940,47379.5041,47311.4741,47337.8692,2025-12-16 15:29:00
47333.1413,1765899000,47381.4235,47333.1413,47372.7913,2025-12-16 15:30:00
47281.4528,1765899060,47343.5719,47255.284,47336.1166,2025-12-16 15:31:00
47336.6187,1765899120,47359.102,47276.6545,47277.8325,2025-12-16 15:32:00
47419.3374,1765899180,47427.7161,47341.2837,47344.5828,2025-12-16 15:33:00
47488.9453,1765899240,47518.9596,47410.0632,47410.0632,2025-12-16 15:34:00
47458.1213,1765899300,47483.1489,47431.6875,47477.4344,2025-12-16 15:35:00
47434.8737,1765899360,47455.4473,47408.528,47455.4473,2025-12-16 15:36:00
47386.1694,1765899420,47429.4585,47368.9536,47429.4585,2025-12-16 15:37:00
47324.5261,1765899480,47396.9375,47321.6907,47375.1035,2025-12-16 15:38:00
47369.4285,1765899540,47382.6525,47301.5788,47331.6743,2025-12-16 15:39:00
47338.549,1765899600,47403.3244,47320.6087,47360.0756,2025-12-16 15:40:00
47282.848,1765899660,47335.3578,47272.7322,47322.765,2025-12-16 15:41:00
47246.1476,1765899720,47283.337,47222.8353,47283.337,2025-12-16 15:42:00
47299.8591,1765899780,47305.9586,47248.4011,47248.4011,2025-12-16 15:43:00
47284.3517,1765899840,47333.5271,47272.1407,47305.2199,2025-12-16 15:44:00
47364.8381,1765899900,47365.4966,47286.4493,47289.7753,2025-12-16 15:45:00
47433.1482,1765899960,47488.1893,47359.546,47361.3637,2025-12-16 15:46:00
47406.125,1765900020,47430.0542,47371.7077,47430.0542,2025-12-16 15:47:00
47342.9034,1765900080,47407.1083,47319.5193,47396.9231,2025-12-16 15:48:00
47356.79,1765900140,47378.4628,47344.8369,47346.9659,2025-12-16 15:49:00
47298.5625,1765900200,47387.6231,47298.5625,47353.8028,2025-12-16 15:50:00
47271.1055,1765900260,47297.5949,47262.5244,47294.9843,2025-12-16 15:51:00
47218.6875,1765900320,47274.1259,47214.7825,47274.1259,2025-12-16 15:52:00
47248.7229,1765900380,47272.8876,47217.4276,47224.844,2025-12-16 15:53:00
47163.611,1765900440,47259.796,47163.611,47259.796,2025-12-16 15:54:00
47150.3433,1765900500,47175.813,47134.011,47171.9163,2025-12-16 15:55:00
